iter	Passed	Remaining
0	143	142882
1	143	71833
2	144	48127
3	145	36269
4	146	29114
5	147	24360
6	147	20965
7	148	18429
8	149	16445
9	150	14867
10	151	13577
11	151	12506
12	152	11591
13	153	10808
14	154	10132
15	155	9536
16	155	9010
17	156	8546
18	157	8128
19	158	7751
20	158	7407
21	159	7087
22	159	6794
23	160	6527
24	161	6280
25	161	6053
26	162	5842
27	162	5646
28	163	5461
29	163	5290
30	164	5130
31	164	4985
32	165	4852
33	166	4722
34	166	4602
35	167	4489
36	168	4383
37	169	4283
38	169	4188
39	170	4100
40	171	4018
41	172	3935
42	173	3852
43	173	3775
44	174	3703
45	175	3632
46	175	3561
47	176	3494
48	176	3428
49	177	3366
50	177	3309
51	178	3256
52	179	3206
53	180	3155
54	180	3107
55	181	3058
56	181	3009
57	182	2963
58	182	2918
59	183	2876
60	184	2834
61	184	2795
62	185	2757
63	185	2718
64	186	2681
65	186	2645
66	187	2609
67	187	2572
68	188	2539
69	188	2508
70	189	2477
71	189	2448
72	190	2419
73	191	2390
74	191	2365
75	192	2340
76	193	2315
77	193	2292
78	194	2270
79	195	2252
80	197	2237
81	199	2232
82	200	2219
83	203	2221
84	204	2203
85	208	2216
86	209	2199
87	210	2181
88	211	2164
89	212	2148
90	213	2132
91	214	2117
92	215	2103
93	216	2086
94	217	2068
95	217	2051
96	218	2034
97	219	2017
98	219	2001
99	220	1984
100	221	1968
101	221	1951
102	222	1936
103	223	1923
104	224	1909
105	224	1897
106	225	1883
107	226	1869
108	227	1857
109	228	1850
110	229	1837
111	230	1824
112	230	1811
113	231	1797
114	231	1785
115	232	1772
116	233	1760
117	234	1750
118	235	1742
119	236	1735
120	237	1725
121	238	1719
122	239	1706
123	240	1696
124	240	1685
125	241	1675
126	242	1666
127	242	1654
128	243	1645
129	244	1637
130	245	1628
131	246	1619
132	247	1611
133	248	1604
134	249	1596
135	250	1593
136	251	1584
137	252	1576
138	253	1567
139	253	1559
140	254	1551
141	255	1543
142	256	1536
143	257	1528
144	257	1520
145	258	1512
146	259	1506
147	260	1499
148	261	1493
149	263	1491
150	263	1484
151	264	1477
152	265	1470
153	266	1462
154	266	1455
155	267	1448
156	268	1441
157	269	1435
158	270	1428
159	270	1422
160	271	1416
161	272	1411
162	273	1406
163	274	1401
164	275	1395
165	276	1389
166	277	1382
167	277	1376
168	278	1370
169	279	1364
170	280	1359
171	281	1353
172	281	1347
173	282	1341
174	283	1336
175	284	1332
176	285	1328
177	286	1323
178	287	1318
179	288	1313
180	288	1306
181	289	1300
182	290	1295
183	290	1289
184	291	1285
185	292	1280
186	293	1275
187	294	1270
188	294	1265
189	295	1261
190	296	1256
191	297	1251
192	298	1246
193	298	1241
194	299	1236
195	300	1231
196	300	1226
197	301	1221
198	302	1216
199	302	1211
200	303	1206
201	304	1202
202	304	1197
203	305	1192
204	306	1187
205	307	1183
206	308	1180
207	309	1178
208	310	1175
209	311	1173
210	313	1171
211	314	1168
212	315	1164
213	315	1160
214	316	1157
215	317	1153
216	318	1149
217	319	1145
218	320	1142
219	321	1139
220	322	1136
221	323	1134
222	324	1131
223	326	1129
224	326	1126
225	327	1122
